Time_s,Temp_Internal,Temp_External,Voltage,Resistance,Label
0.0,30.92,18.51,3.2269,0.3099,0
1.0,29.88,18.48,3.2468,0.3144,0
2.0,29.91,18.46,3.2166,0.3187,0
3.0,29.58,18.43,3.2223,0.3262,0
4.0,30.89,18.43,3.221,0.3095,0
5.0,30.24,18.42,3.1936,0.3095,0
6.0,29.85,18.39,3.2148,0.3196,0
7.0,29.68,18.37,3.225,0.3378,0
8.0,29.5,18.34,3.2214,0.3261,0
9.0,31.36,18.35,3.2245,0.3091,0
10.0,30.49,18.35,3.2348,0.3155,0
11.0,30.13,18.33,3.2262,0.3117,0
12.0,30.59,18.33,3.2309,0.3318,0
13.0,31.31,18.35,3.2274,0.3266,0
14.0,31.02,18.36,3.2272,0.3243,0
15.0,30.54,18.35,3.2213,0.3197,0
16.0,28.92,18.31,3.2075,0.3284,0
17.0,31.02,18.32,3.2387,0.3279,0
18.0,31.5,18.34,3.2199,0.3123,0
19.0,30.56,18.34,3.2267,0.3295,0
20.0,30.98,18.34,3.2196,0.3105,0
21.0,30.23,18.33,3.2474,0.326,0
22.0,30.72,18.33,3.2443,0.3198,0
23.0,30.75,18.34,3.2463,0.3098,0
24.0,29.5,18.31,3.2321,0.3312,0
25.0,31.8,18.34,3.2126,0.3155,0
26.0,29.92,18.32,3.2298,0.303,0
27.0,32.63,18.37,3.2343,0.3212,0
28.0,31.81,18.39,3.242,0.3358,0
29.0,31.94,18.42,3.219,0.3297,0
30.0,32.23,18.46,3.2214,0.325,0
31.0,32.34,18.49,3.2237,0.3205,0
32.0,32.07,18.52,3.2243,0.3122,0
33.0,32.75,18.57,3.2348,0.3226,0
34.0,30.77,18.56,3.2311,0.313,0
35.0,31.86,18.58,3.2311,0.3195,0
36.0,31.32,18.59,3.2432,0.3262,0
37.0,31.41,18.6,3.2185,0.329,0
38.0,32.62,18.64,3.2239,0.3267,0
39.0,31.37,18.64,3.2283,0.3267,0
40.0,32.51,18.68,3.2331,0.3245,0
41.0,33.53,18.74,3.2349,0.3058,0
42.0,32.23,18.76,3.2215,0.319,0
43.0,32.17,18.78,3.2261,0.3325,0
44.0,32.08,18.8,3.2155,0.312,0
45.0,32.58,18.83,3.2313,0.3139,0
46.0,33.79,18.89,3.225,0.3258,0
47.0,33.32,18.93,3.2216,0.3118,0
48.0,32.37,18.95,3.211,0.3245,0
49.0,33.27,19.0,3.2355,0.3181,0
50.0,31.6,19.0,3.2326,0.3238,0
51.0,33.31,19.04,3.2345,0.3133,0
52.0,34.1,19.1,3.2135,0.3482,0
53.0,34.01,19.15,3.2235,0.3262,0
54.0,33.4,19.19,3.2227,0.3301,0
55.0,33.88,19.24,3.2178,0.3136,0
56.0,31.94,19.24,3.2198,0.326,0
57.0,32.98,19.26,3.2282,0.3253,0
58.0,33.08,19.29,3.2178,0.3265,0
59.0,33.4,19.32,3.223,0.3223,0
60.0,33.35,19.35,3.2254,0.324,0
61.0,33.64,19.39,3.2335,0.3111,0
62.0,35.03,19.46,3.2238,0.3286,0
63.0,35.08,19.52,3.2418,0.326,0
64.0,35.26,19.59,3.2201,0.3126,0
65.0,32.85,19.6,3.232,0.3038,0
66.0,34.91,19.66,3.2275,0.3277,0
67.0,34.72,19.71,3.2081,0.3336,0
68.0,34.17,19.75,3.2303,0.3323,0
69.0,35.43,19.82,3.2087,0.3229,0
70.0,33.89,19.84,3.2183,0.3252,0
71.0,34.33,19.88,3.225,0.3053,0
72.0,34.38,19.91,3.2294,0.3257,0
73.0,35.46,19.97,3.213,0.3223,0
74.0,33.7,19.99,3.2299,0.3392,0
75.0,34.91,20.03,3.2298,0.3275,0
76.0,35.4,20.09,3.2193,0.3368,0
77.0,34.34,20.12,3.2297,0.3299,0
78.0,34.95,20.16,3.2375,0.318,0
79.0,34.28,20.18,3.2304,0.319,0
80.0,36.77,20.26,3.2142,0.3113,0
81.0,37.37,20.36,3.2009,0.3387,0
82.0,35.93,20.42,3.2106,0.3075,0
83.0,35.14,20.45,3.2028,0.3208,0
84.0,35.05,20.48,3.2254,0.3315,0
85.0,35.35,20.52,3.2351,0.3213,0
86.0,35.29,20.56,3.2455,0.3228,0
87.0,36.6,20.62,3.2376,0.3174,0
88.0,36.63,20.69,3.2258,0.3202,0
89.0,35.8,20.73,3.2229,0.3262,0
90.0,36.16,20.78,3.2203,0.3157,0
91.0,35.92,20.82,3.2177,0.3312,0
92.0,35.09,20.84,3.2115,0.2983,0
93.0,36.31,20.89,3.2106,0.335,0
94.0,35.69,20.92,3.2064,0.3208,0
95.0,37.87,21.0,3.2322,0.3206,0
96.0,37.19,21.07,3.2348,0.301,0
97.0,36.54,21.11,3.2267,0.3228,0
98.0,35.55,21.13,3.2034,0.3295,0
99.0,36.6,21.18,3.225,0.3085,0
100.0,36.46,21.22,3.2199,0.3386,0
101.0,37.23,21.28,3.2119,0.3072,0
